expression,expression_length
NTTNNNTTNTS,11
NTTNNNTTTNS,11
NTTNNNTTTTS,11
NTTNNTNNNNS,11
NTTNNTNNNTS,11
NTTNNTNNTNS,11
NTTNNTNNTTS,11
NTTNNTNTNNS,11
NTTNNTNTNTS,11
NTTNNTNTTNS,11
NTTNNTNTTTS,11
NTTNNTTNNNS,11
NTTNNTTNNTS,11
NTTNNTTNTNS,11
NTTNNTTNTTS,11
NTTNNTTTNNS,11
NTTNNTTTNTS,11
NTTNNTTTTNS,11
NTTNNTTTTTS,11
NTTNTNNNNNS,11
NTTNTNNNNTS,11
NTTNTNNNTNS,11
NTTNTNNNTTS,11
NTTNTNNTNNS,11
NTTNTNNTNTS,11
NTTNTNNTTNS,11
NTTNTNNTTTS,11
NTTNTNTNNNS,11
NTTNTNTNNTS,11
NTTNTNTNTNS,11
NTTNTNTNTTS,11
NTTNTNTTNNS,11
NTTNTNTTNTS,11
NTTNTNTTTNS,11
NTTNTNTTTTS,11
NTTNTTNNNNS,11
NTTNTTNNNTS,11
NTTNTTNNTNS,11
NTTNTTNNTTS,11
NTTNTTNTNNS,11
NTTNTTNTNTS,11
NTTNTTNTTNS,11
NTTNTTNTTTS,11
NTTNTTTNNNS,11
NTTNTTTNNTS,11
NTTNTTTNTNS,11
NTTNTTTNTTS,11
NTTNTTTTNNS,11
NTTNTTTTNTS,11
NTTNTTTTTNS,11
NTTNTTTTTTS,11
NTTTNNNNNNS,11
NTTTNNNNNTS,11
NTTTNNNNTNS,11
NTTTNNNNTTS,11
NTTTNNNTNNS,11
NTTTNNNTNTS,11
NTTTNNNTTNS,11
NTTTNNNTTTS,11
NTTTNNTNNNS,11
NTTTNNTNNTS,11
NTTTNNTNTNS,11
NTTTNNTNTTS,11
NTTTNNTTNNS,11
NTTTNNTTNTS,11
NTTTNNTTTNS,11
NTTTNNTTTTS,11
NTTTNTNNNNS,11
NTTTNTNNNTS,11
NTTTNTNNTNS,11
NTTTNTNNTTS,11
NTTTNTNTNNS,11
NTTTNTNTNTS,11
NTTTNTNTTNS,11
NTTTNTNTTTS,11
NTTTNTTNNNS,11
NTTTNTTNNTS,11
NTTTNTTNTNS,11
NTTTNTTNTTS,11
NTTTNTTTNNS,11
NTTTNTTTNTS,11
NTTTNTTTTNS,11
NTTTNTTTTTS,11
NTTTTNNNNNS,11
NTTTTNNNNTS,11
NTTTTNNNTNS,11
NTTTTNNNTTS,11
NTTTTNNTNNS,11
NTTTTNNTNTS,11
NTTTTNNTTNS,11
NTTTTNNTTTS,11
NTTTTNTNNNS,11
NTTTTNTNNTS,11
NTTTTNTNTNS,11
NTTTTNTNTTS,11
NTTTTNTTNNS,11
NTTTTNTTNTS,11
NTTTTNTTTNS,11
NTTTTNTTTTS,11
NTTTTTNNNNS,11
NTTTTTNNNTS,11
NTTTTTNNTNS,11
NTTTTTNNTTS,11
NTTTTTNTNNS,11
NTTTTTNTNTS,11
NTTTTTNTTNS,11
NTTTTTNTTTS,11
NTTTTTTNNNS,11
NTTTTTTNNTS,11
NTTTTTTNTNS,11
NTTTTTTNTTS,11
NTTTTTTTNNS,11
NTTTTTTTNTS,11
NTTTTTTTTNS,11
NTTTTTTTTTS,11
TNNNNNNNNNS,11
TNNNNNNNNTS,11
TNNNNNNNTNS,11
TNNNNNNNTTS,11
TNNNNNNTNNS,11
TNNNNNNTNTS,11
TNNNNNNTTNS,11
TNNNNNNTTTS,11
TNNNNNTNNNS,11
TNNNNNTNNTS,11
TNNNNNTNTNS,11
TNNNNNTNTTS,11
TNNNNNTTNNS,11
TNNNNNTTNTS,11
TNNNNNTTTNS,11
TNNNNNTTTTS,11
TNNNNTNNNNS,11
TNNNNTNNNTS,11
TNNNNTNNTNS,11
TNNNNTNNTTS,11
TNNNNTNTNNS,11
TNNNNTNTNTS,11
TNNNNTNTTNS,11
TNNNNTNTTTS,11
TNNNNTTNNNS,11
TNNNNTTNNTS,11
TNNNNTTNTNS,11
TNNNNTTNTTS,11
TNNNNTTTNNS,11
TNNNNTTTNTS,11
TNNNNTTTTNS,11
TNNNNTTTTTS,11
TNNNTNNNNNS,11
TNNNTNNNNTS,11
TNNNTNNNTNS,11
TNNNTNNNTTS,11
TNNNTNNTNNS,11
TNNNTNNTNTS,11
TNNNTNNTTNS,11
TNNNTNNTTTS,11
TNNNTNTNNNS,11
TNNNTNTNNTS,11
TNNNTNTNTNS,11
TNNNTNTNTTS,11
TNNNTNTTNNS,11
TNNNTNTTNTS,11
TNNNTNTTTNS,11
TNNNTNTTTTS,11
TNNNTTNNNNS,11
TNNNTTNNNTS,11
TNNNTTNNTNS,11
TNNNTTNNTTS,11
TNNNTTNTNNS,11
TNNNTTNTNTS,11
TNNNTTNTTNS,11
TNNNTTNTTTS,11
TNNNTTTNNNS,11
TNNNTTTNNTS,11
TNNNTTTNTNS,11
TNNNTTTNTTS,11
TNNNTTTTNNS,11
TNNNTTTTNTS,11
TNNNTTTTTNS,11
TNNNTTTTTTS,11
TNNTNNNNNNS,11
TNNTNNNNNTS,11
TNNTNNNNTNS,11
TNNTNNNNTTS,11
TNNTNNNTNNS,11
TNNTNNNTNTS,11
TNNTNNNTTNS,11
TNNTNNNTTTS,11
TNNTNNTNNNS,11
TNNTNNTNNTS,11
TNNTNNTNTNS,11
TNNTNNTNTTS,11
TNNTNNTTNNS,11
TNNTNNTTNTS,11
TNNTNNTTTNS,11
TNNTNNTTTTS,11
TNNTNTNNNNS,11
TNNTNTNNNTS,11
TNNTNTNNTNS,11
TNNTNTNNTTS,11
TNNTNTNTNNS,11
TNNTNTNTNTS,11
TNNTNTNTTNS,11
TNNTNTNTTTS,11
TNNTNTTNNNS,11
TNNTNTTNNTS,11
TNNTNTTNTNS,11
TNNTNTTNTTS,11
TNNTNTTTNNS,11
TNNTNTTTNTS,11
TNNTNTTTTNS,11
TNNTNTTTTTS,11
TNNTTNNNNNS,11
TNNTTNNNNTS,11
TNNTTNNNTNS,11
TNNTTNNNTTS,11
TNNTTNNTNNS,11
TNNTTNNTNTS,11
TNNTTNNTTNS,11
TNNTTNNTTTS,11
TNNTTNTNNNS,11
TNNTTNTNNTS,11
TNNTTNTNTNS,11
TNNTTNTNTTS,11
TNNTTNTTNNS,11
TNNTTNTTNTS,11
TNNTTNTTTNS,11
TNNTTNTTTTS,11
TNNTTTNNNNS,11
TNNTTTNNNTS,11
TNNTTTNNTNS,11
TNNTTTNNTTS,11
TNNTTTNTNNS,11
TNNTTTNTNTS,11
TNNTTTNTTNS,11
TNNTTTNTTTS,11
TNNTTTTNNNS,11
TNNTTTTNNTS,11
TNNTTTTNTNS,11
TNNTTTTNTTS,11
TNNTTTTTNNS,11
TNNTTTTTNTS,11
TNNTTTTTTNS,11
TNNTTTTTTTS,11
TNTNNNNNNNS,11
TNTNNNNNNTS,11
TNTNNNNNTNS,11
TNTNNNNNTTS,11
TNTNNNNTNNS,11
TNTNNNNTNTS,11
TNTNNNNTTNS,11
TNTNNNNTTTS,11
TNTNNNTNNNS,11
TNTNNNTNNTS,11
TNTNNNTNTNS,11
TNTNNNTNTTS,11
TNTNNNTTNNS,11
TNTNNNTTNTS,11
TNTNNNTTTNS,11
TNTNNNTTTTS,11
TNTNNTNNNNS,11
TNTNNTNNNTS,11
TNTNNTNNTNS,11
TNTNNTNNTTS,11
TNTNNTNTNNS,11
TNTNNTNTNTS,11
TNTNNTNTTNS,11
TNTNNTNTTTS,11
TNTNNTTNNNS,11
TNTNNTTNNTS,11
TNTNNTTNTNS,11
TNTNNTTNTTS,11
TNTNNTTTNNS,11
TNTNNTTTNTS,11
TNTNNTTTTNS,11
TNTNNTTTTTS,11
TNTNTNNNNNS,11
TNTNTNNNNTS,11
TNTNTNNNTNS,11
TNTNTNNNTTS,11
TNTNTNNTNNS,11
TNTNTNNTNTS,11
TNTNTNNTTNS,11
TNTNTNNTTTS,11
TNTNTNTNNNS,11
TNTNTNTNNTS,11
TNTNTNTNTNS,11
TNTNTNTNTTS,11
TNTNTNTTNNS,11
TNTNTNTTNTS,11
TNTNTNTTTNS,11
TNTNTNTTTTS,11
TNTNTTNNNNS,11
TNTNTTNNNTS,11
TNTNTTNNTNS,11
TNTNTTNNTTS,11
TNTNTTNTNNS,11
TNTNTTNTNTS,11
TNTNTTNTTNS,11
TNTNTTNTTTS,11
TNTNTTTNNNS,11
TNTNTTTNNTS,11
TNTNTTTNTNS,11
TNTNTTTNTTS,11
TNTNTTTTNNS,11
TNTNTTTTNTS,11
TNTNTTTTTNS,11
TNTNTTTTTTS,11
TNTTNNNNNNS,11
TNTTNNNNNTS,11
TNTTNNNNTNS,11
TNTTNNNNTTS,11
TNTTNNNTNNS,11
TNTTNNNTNTS,11
TNTTNNNTTNS,11
TNTTNNNTTTS,11
TNTTNNTNNNS,11
TNTTNNTNNTS,11
TNTTNNTNTNS,11
TNTTNNTNTTS,11
TNTTNNTTNNS,11
TNTTNNTTNTS,11
TNTTNNTTTNS,11
TNTTNNTTTTS,11
TNTTNTNNNNS,11
TNTTNTNNNTS,11
TNTTNTNNTNS,11
TNTTNTNNTTS,11
TNTTNTNTNNS,11
TNTTNTNTNTS,11
TNTTNTNTTNS,11
TNTTNTNTTTS,11
TNTTNTTNNNS,11
TNTTNTTNNTS,11
TNTTNTTNTNS,11
TNTTNTTNTTS,11
TNTTNTTTNNS,11
TNTTNTTTNTS,11
TNTTNTTTTNS,11
TNTTNTTTTTS,11
TNTTTNNNNNS,11
TNTTTNNNNTS,11
TNTTTNNNTNS,11
TNTTTNNNTTS,11
TNTTTNNTNNS,11
TNTTTNNTNTS,11
TNTTTNNTTNS,11
TNTTTNNTTTS,11
TNTTTNTNNNS,11
TNTTTNTNNTS,11
TNTTTNTNTNS,11
TNTTTNTNTTS,11
TNTTTNTTNNS,11
TNTTTNTTNTS,11
TNTTTNTTTNS,11
TNTTTNTTTTS,11
TNTTTTNNNNS,11
TNTTTTNNNTS,11
TNTTTTNNTNS,11
TNTTTTNNTTS,11
TNTTTTNTNNS,11
TNTTTTNTNTS,11
TNTTTTNTTNS,11
TNTTTTNTTTS,11
TNTTTTTNNNS,11
TNTTTTTNNTS,11
TNTTTTTNTNS,11
TNTTTTTNTTS,11
TNTTTTTTNNS,11
TNTTTTTTNTS,11
TNTTTTTTTNS,11
TNTTTTTTTTS,11
TTNNNNNNNNS,11
TTNNNNNNNTS,11
TTNNNNNNTNS,11
TTNNNNNNTTS,11
TTNNNNNTNNS,11
TTNNNNNTNTS,11
TTNNNNNTTNS,11
TTNNNNNTTTS,11
TTNNNNTNNNS,11
TTNNNNTNNTS,11
TTNNNNTNTNS,11
TTNNNNTNTTS,11
TTNNNNTTNNS,11
TTNNNNTTNTS,11
TTNNNNTTTNS,11
TTNNNNTTTTS,11
TTNNNTNNNNS,11
TTNNNTNNNTS,11
TTNNNTNNTNS,11
TTNNNTNNTTS,11
TTNNNTNTNNS,11
TTNNNTNTNTS,11
TTNNNTNTTNS,11
TTNNNTNTTTS,11
TTNNNTTNNNS,11
TTNNNTTNNTS,11
TTNNNTTNTNS,11
TTNNNTTNTTS,11
TTNNNTTTNNS,11
TTNNNTTTNTS,11
TTNNNTTTTNS,11
TTNNNTTTTTS,11
TTNNTNNNNNS,11
TTNNTNNNNTS,11
TTNNTNNNTNS,11
TTNNTNNNTTS,11
TTNNTNNTNNS,11
TTNNTNNTNTS,11
TTNNTNNTTNS,11
TTNNTNNTTTS,11
TTNNTNTNNNS,11
TTNNTNTNNTS,11
TTNNTNTNTNS,11
TTNNTNTNTTS,11
TTNNTNTTNNS,11
TTNNTNTTNTS,11
TTNNTNTTTNS,11
TTNNTNTTTTS,11
TTNNTTNNNNS,11
TTNNTTNNNTS,11
TTNNTTNNTNS,11
TTNNTTNNTTS,11
TTNNTTNTNNS,11
TTNNTTNTNTS,11
TTNNTTNTTNS,11
TTNNTTNTTTS,11
TTNNTTTNNNS,11
TTNNTTTNNTS,11
TTNNTTTNTNS,11
TTNNTTTNTTS,11
TTNNTTTTNNS,11
TTNNTTTTNTS,11
TTNNTTTTTNS,11
TTNNTTTTTTS,11
TTNTNNNNNNS,11
TTNTNNNNNTS,11
TTNTNNNNTNS,11
TTNTNNNNTTS,11
TTNTNNNTNNS,11
TTNTNNNTNTS,11
TTNTNNNTTNS,11
TTNTNNNTTTS,11
TTNTNNTNNNS,11
TTNTNNTNNTS,11
TTNTNNTNTNS,11
TTNTNNTNTTS,11
TTNTNNTTNNS,11
TTNTNNTTNTS,11
TTNTNNTTTNS,11
TTNTNNTTTTS,11
TTNTNTNNNNS,11
TTNTNTNNNTS,11
TTNTNTNNTNS,11
TTNTNTNNTTS,11
TTNTNTNTNNS,11
TTNTNTNTNTS,11
TTNTNTNTTNS,11
TTNTNTNTTTS,11
TTNTNTTNNNS,11
TTNTNTTNNTS,11
TTNTNTTNTNS,11
TTNTNTTNTTS,11
TTNTNTTTNNS,11
TTNTNTTTNTS,11
TTNTNTTTTNS,11
TTNTNTTTTTS,11
TTNTTNNNNNS,11
TTNTTNNNNTS,11
TTNTTNNNTNS,11
TTNTTNNNTTS,11
TTNTTNNTNNS,11
TTNTTNNTNTS,11
TTNTTNNTTNS,11
TTNTTNNTTTS,11
TTNTTNTNNNS,11
TTNTTNTNNTS,11
TTNTTNTNTNS,11
TTNTTNTNTTS,11
TTNTTNTTNNS,11
TTNTTNTTNTS,11
TTNTTNTTTNS,11
TTNTTNTTTTS,11
TTNTTTNNNNS,11
TTNTTTNNNTS,11
TTNTTTNNTNS,11
TTNTTTNNTTS,11
TTNTTTNTNNS,11
TTNTTTNTNTS,11
TTNTTTNTTNS,11
TTNTTTNTTTS,11
TTNTTTTNNNS,11
TTNTTTTNNTS,11
TTNTTTTNTNS,11
TTNTTTTNTTS,11
TTNTTTTTNNS,11
TTNTTTTTNTS,11
TTNTTTTTTNS,11
TTNTTTTTTTS,11
TTTNNNNNNNS,11
TTTNNNNNNTS,11
TTTNNNNNTNS,11
TTTNNNNNTTS,11
TTTNNNNTNNS,11
TTTNNNNTNTS,11
TTTNNNNTTNS,11
TTTNNNNTTTS,11
TTTNNNTNNNS,11
TTTNNNTNNTS,11
TTTNNNTNTNS,11
TTTNNNTNTTS,11
TTTNNNTTNNS,11
TTTNNNTTNTS,11
TTTNNNTTTNS,11
TTTNNNTTTTS,11
TTTNNTNNNNS,11
TTTNNTNNNTS,11
TTTNNTNNTNS,11
TTTNNTNNTTS,11
TTTNNTNTNNS,11
TTTNNTNTNTS,11
TTTNNTNTTNS,11
TTTNNTNTTTS,11
TTTNNTTNNNS,11
TTTNNTTNNTS,11
TTTNNTTNTNS,11
TTTNNTTNTTS,11
TTTNNTTTNNS,11
TTTNNTTTNTS,11
TTTNNTTTTNS,11
TTTNNTTTTTS,11
TTTNTNNNNNS,11
TTTNTNNNNTS,11
TTTNTNNNTNS,11
TTTNTNNNTTS,11
TTTNTNNTNNS,11
TTTNTNNTNTS,11
TTTNTNNTTNS,11
TTTNTNNTTTS,11
TTTNTNTNNNS,11
TTTNTNTNNTS,11
TTTNTNTNTNS,11
TTTNTNTNTTS,11
TTTNTNTTNNS,11
TTTNTNTTNTS,11
TTTNTNTTTNS,11
TTTNTNTTTTS,11
TTTNTTNNNNS,11
TTTNTTNNNTS,11
TTTNTTNNTNS,11
TTTNTTNNTTS,11
TTTNTTNTNNS,11
TTTNTTNTNTS,11
TTTNTTNTTNS,11
TTTNTTNTTTS,11
TTTNTTTNNNS,11
TTTNTTTNNTS,11
TTTNTTTNTNS,11
TTTNTTTNTTS,11
TTTNTTTTNNS,11
TTTNTTTTNTS,11
TTTNTTTTTNS,11
TTTNTTTTTTS,11
TTTTNNNNNNS,11
TTTTNNNNNTS,11
TTTTNNNNTNS,11
TTTTNNNNTTS,11
TTTTNNNTNNS,11
TTTTNNNTNTS,11
TTTTNNNTTNS,11
TTTTNNNTTTS,11
TTTTNNTNNNS,11
TTTTNNTNNTS,11
TTTTNNTNTNS,11
TTTTNNTNTTS,11
TTTTNNTTNNS,11
TTTTNNTTNTS,11
TTTTNNTTTNS,11
TTTTNNTTTTS,11
TTTTNTNNNNS,11
TTTTNTNNNTS,11
TTTTNTNNTNS,11
TTTTNTNNTTS,11
TTTTNTNTNNS,11
TTTTNTNTNTS,11
TTTTNTNTTNS,11
TTTTNTNTTTS,11
TTTTNTTNNNS,11
TTTTNTTNNTS,11
TTTTNTTNTNS,11
TTTTNTTNTTS,11
TTTTNTTTNNS,11
TTTTNTTTNTS,11
TTTTNTTTTNS,11
TTTTNTTTTTS,11
TTTTTNNNNNS,11
TTTTTNNNNTS,11
TTTTTNNNTNS,11
TTTTTNNNTTS,11
TTTTTNNTNNS,11
TTTTTNNTNTS,11
TTTTTNNTTNS,11
TTTTTNNTTTS,11
TTTTTNTNNNS,11
TTTTTNTNNTS,11
TTTTTNTNTNS,11
TTTTTNTNTTS,11
TTTTTNTTNNS,11
TTTTTNTTNTS,11
TTTTTNTTTNS,11
TTTTTNTTTTS,11
TTTTTTNNNNS,11
TTTTTTNNNTS,11
TTTTTTNNTNS,11
TTTTTTNNTTS,11
TTTTTTNTNNS,11
TTTTTTNTNTS,11
TTTTTTNTTNS,11
TTTTTTNTTTS,11
TTTTTTTNNNS,11
TTTTTTTNNTS,11
TTTTTTTNTNS,11
TTTTTTTNTTS,11
TTTTTTTTNNS,11
TTTTTTTTNTS,11
TTTTTTTTTNS,11
TTTTTTTTTTS,11
